Track name, Artist name, Album, Playlist name, Type, ISRC
Please Come Home for Christmas - 2013 Remaster,Eagles,Please Come Home for Christmas / Funky New Year (2013 Remaster),Christmas Hits,Playlist track,USEE11300376
Make It To Christmas,Alessia Cara,Make It To Christmas,Christmas Hits,Playlist track,USUM71922143
Wrapped in Red,Kelly Clarkson,Wrapped In Red,Christmas Hits,Playlist track,GBCTA1300102
Blue Christmas,Elvis Presley,Elvis' Christmas Album,Christmas Hits,Playlist track,USRC15701155
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,Christmas Hits,Christmas Hits,Playlist track,USSM17500461
Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Mariah Carey,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Christmas Hits,Playlist track,USQX92005061
Rudolph The Red-Nosed Reindeer,Burl Ives,Have A Holly Jolly Christmas,Christmas Hits,Playlist track,USMC16516116
My Kind Of Present,Meghan Trainor,A Very Trainor Christmas,Christmas Hits,Playlist track,USSM12005068
Do You Hear What I Hear? - Remastered 2006,Bing Crosby,Bing Crosby - Christmas Classics,Christmas Hits,Playlist track,USCA20600974
Man With The Bag,Jessie J,Man With The Bag,Christmas Hits,Playlist track,USUM71517734
Mistletoe and Wine,Cliff Richard,Together With Cliff Richard,Christmas Hits,Playlist track,GBAYE8800240
Naughty List (with Dixie),Liam Payne,Naughty List (with Dixie),Christmas Hits,Playlist track,GBUM72005653
Let It Snow (with Babyface),Tori Kelly,Let It Snow (with Babyface),Christmas Hits,Playlist track,USUM72018895
Lonely This Christmas,Mud,"A's, B's And Rarities",Christmas Hits,Playlist track,GBAYE7400041
Rockin' Around The Christmas Tree,Mel & Kim,Julemusik 2018,Christmas Hits,Playlist track,GBAAA8700049
Amazing Grace (My Chains Are Gone),Pentatonix,We Need A Little Christmas,Christmas Hits,Playlist track,USRC12003429
"Oh Holy Night - Recorded at Metropolis Studios, London",Nina Nesbitt,Spotify Singles - Christmas,Christmas Hits,Playlist track,GBCEJ1800217
All I Want (For Christmas),Liam Payne,All I Want (For Christmas),Christmas Hits,Playlist track,GBUM71905045
Have Yourself a Merry Little Christmas,Christina Aguilera,My Kind Of Christmas,Christmas Hits,Playlist track,USRC10000692
It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC,Norah Jones,Spotify Singles - Holiday,Christmas Hits,Playlist track,USUM71712906
This Christmas,Donny Hathaway,A Donny Hathaway Collection,Christmas Hits,Playlist track,USAT20180585
The First Noël (with Faith Hill),Josh Groban,Noël,Christmas Hits,Playlist track,USRE10701716
Christmas Time,Backstreet Boys,Christmas Hits,Christmas Hits,Playlist track,USJI10000524
"Holidays (feat. Earth, Wind & Fire)",Meghan Trainor,A Very Trainor Christmas,Christmas Hits,Playlist track,USSM12005072
The Lighthouse Keeper,Sam Smith,The Lighthouse Keeper,Christmas Hits,Playlist track,GBUM72006086
I Need You Christmas,Jonas Brothers,I Need You Christmas,Christmas Hits,Playlist track,USUG12004111
"White Christmas - Spotify Singles - Holiday, Recorded at Air Studios, London",George Ezra,"White Christmas (Spotify Singles - Holiday, Recorded at Air Studios, London)",Christmas Hits,Playlist track,GBARL1702164
"Cuddle Up, Cozy Down Christmas",Dolly Parton,A Holly Dolly Christmas,Christmas Hits,Playlist track,ZZOPM2003058
Grown-Up Christmas List,Jordan Smith,'Tis The Season,Christmas Hits,Playlist track,USUM71609062
Little Drummer Boy,for KING & COUNTRY,A Drummer Boy Christmas,Christmas Hits,Playlist track,USM1C2000073
Glittery - From The Kacey Musgraves Christmas Show,Kacey Musgraves,The Kacey Musgraves Christmas Show,Christmas Hits,Playlist track,USUM71922786
Fairytale of New York (feat. Kirsty MacColl),The Pogues,If I Should Fall from Grace with God (Expanded Edition),Christmas Hits,Playlist track,GBAHT8703085
Merry Christmas Baby,Otis Redding,Pure Southern Soul,Christmas Hits,Playlist track,USAT20000317
2000 Miles - 2007 Remaster,Pretenders,Learning to Crawl (Expanded & Remastered),Christmas Hits,Playlist track,GBAHT0700195
Frosty the Snowman,Fiona Apple,I'll Be Home For Christmas,Christmas Hits,Playlist track,USSM10313422
It's Christmas,Jamie Cullum,The Pianoman at Christmas,Christmas Hits,Playlist track,GBUM72004655
Christmas Time Is Here,Brett Eldredge,Glow (Deluxe Edition),Christmas Hits,Playlist track,USWB11802017
You and Me and Christmastime,Sheffield,"Merry Christmas, Baby",Christmas Hits,Playlist track,QM24S1841408
Christmas Time Is Here - Recorded at Sound Emporium Nashville,Devin Dawson,Spotify Singles - Christmas,Christmas Hits,Playlist track,USWB11802361
Christmas (Baby Please Come Home),ROZES,A Very ROZES Christmas,Christmas Hits,Playlist track,QZ47A1800312
