Track name, Artist name, Album, Playlist name, Type, ISRC
Red Cup,E-40,Red Cup,Top 100 Hip-Hop Tracks on Spotify,Playlist track,US4KV1400101
Preach,Young Dolph,Cross Country Trappin,Top 100 Hip-Hop Tracks on Spotify,Playlist track,TCABW1492285
My Jam (feat. Zendaya & Jeremih),Bobby Brackins,My Jam (feat. Zendaya & Jeremih),Top 100 Hip-Hop Tracks on Spotify,Playlist track,TCACD1524816
Hide (Tropkillaz Remix) [feat. Childish Gambino & Aynzli Jones],N.A.S.A.,Hide (Tropkillaz Remix) [feat. Childish Gambino & Aynzli Jones],Top 100 Hip-Hop Tracks on Spotify,Playlist track,TCABW1432169
My Bae,Vado,My Bae,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USCM51400083
Backflip (feat. YG & Iamsu!),Casey Veggies,Backflip (feat. YG & Iamsu!),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USSM11408831
Whales,Hail Mary Mallon,Bestiary,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USBWK1400223
Hunnid Stax (feat. ScHoolboy Q),Ab-Soul,These Days...,Top 100 Hip-Hop Tracks on Spotify,Playlist track,TCABZ1476468
40 Years of Gaming,Dan Bull,40 Years of Gaming,Top 100 Hip-Hop Tracks on Spotify,Playlist track,FR4GL1110798
Face Down,Mustard,10 Summers,Top 100 Hip-Hop Tracks on Spotify,Playlist track,QMJMT1400115
Final Boss,Doomtree,All Hands,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USA2P1461422
Thank You,Busta Rhymes,Thank You,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USCM51300939
Don't Panic,French Montana,Don't Panic,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71410195
Trap Queen,Fetty Wap,Trap Queen,Top 100 Hip-Hop Tracks on Spotify,Playlist track,QM7XC1400004
Truffle Butter,Nicki Minaj,Truffle Butter,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USCM51400405
Bitches N Marijuana (feat. ScHoolboy Q),Chris Brown,Fan of A Fan The Album (Expanded Edition),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USRC11500122
We Dem Boyz,Wiz Khalifa,Blacc Hollywood (Deluxe),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USAT21400212
Till It's Gone,Yelawolf,Till It's Gone,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USUM71413596
Tuesday (feat. Drake),ILOVEMAKONNEN,Tuesday (feat. Drake),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USWB11402508
We Be On It,DeJ Loaf,We Be On It,Top 100 Hip-Hop Tracks on Spotify,Playlist track,USSM11500628
Schemin Up (feat. Drake and P. Reign),OB OBrien,Schemin Up (feat. Drake and P. Reign),Top 100 Hip-Hop Tracks on Spotify,Playlist track,USWB11403713
